1	Guitar	Guitarist	https://cdn-icons.flaticon.com/png/512/2741/premium/2741297.png?token=exp=1638930226~hmac=09819ed6d87ca26e2cc4b157302dde26
2	Vocals	Singer	https://cdn-icons-png.flaticon.com/512/4786/4786444.png
3	Backup Vocals	Backup Singer	https://cdn-icons.flaticon.com/png/512/4804/premium/4804956.png?token=exp=1638930492~hmac=654e38398e2e03a7d0e98738acf7e725
4	Bass	Bassist	https://cdn-icons-png.flaticon.com/512/92/92990.png
5	Drums	Drummer	https://cdn-icons.flaticon.com/png/512/820/premium/820504.png?token=exp=1638930610~hmac=087df09a70fd1d9b3e88048967f791a7
6	Trumpet	Trumpet Player	https://cdn-icons.flaticon.com/png/512/5890/premium/5890593.png?token=exp=1638930661~hmac=60f7a2ccdd72281e440526ba7ac22806
7	Trombone	Trombone Player	https://cdn-icons-png.flaticon.com/512/288/288336.png
8	Saxophone	Saxophone Player	https://cdn-icons.flaticon.com/png/512/3921/premium/3921439.png?token=exp=1638930757~hmac=cf7c6e9af06f5dccbbba4868ce467065
9	Percussion	Percussionist	https://cdn-icons-png.flaticon.com/512/836/836790.png
10	Strings	Strings Player	https://cdn-icons.flaticon.com/png/512/2422/premium/2422905.png?token=exp=1638930988~hmac=d4c9602cd644227916a7fc3280a77ef1
11	Flute	Flautist	https://cdn-icons-png.flaticon.com/512/1185/1185099.png
12	Audio Engineering	Audio Engineer	https://cdn-icons.flaticon.com/png/512/2353/premium/2353905.png?token=exp=1638931103~hmac=388e49d35baa9b528320ea90ca7b23fc
13	Management	Manager	https://cdn-icons-png.flaticon.com/512/4812/4812872.png
14	Production	Producer	https://cdn-icons.flaticon.com/png/512/4427/premium/4427656.png?token=exp=1638944044~hmac=f3eecdea1bc2c4bb4e07fc984eb6f0f6
15	Keyboards	Keyboardist	https://cdn-icons.flaticon.com/png/512/3156/premium/3156627.png?token=exp=1639534976~hmac=904695d72818f752a70b3b6166184545
